time,ax,ay,az,gx,gy,gz
1786181348.129908323,-0.039329879,-0.004008311,0.994616985,0.007227879,0.002412571,0.025189646
1786181348.135722160,-0.032249801,0.006245595,0.997546673,0.002966821,0.0045431,0.025189646
1786181348.139696598,-0.026390424,-0.01890089,0.983874798,-0.002359501,0.003477834,0.027320176
1786181348.145681381,-0.011986127,-0.001322764,1.012439251,0.007227879,0.000282042,0.027320176
1786181348.150349617,-0.000511518,-0.003764171,0.990710735,-0.009816352,0.0045431,0.018798061
1786181348.155700684,-0.006126753,-0.001322764,0.997058392,0.00509735,0.002412571,0.026254911
1786181348.160169601,-0.007835736,0.009907704,0.982165813,0.00509735,0.002412571,0.028385442
1786181348.165713072,-0.011009565,0.015278798,0.981189251,-0.001294237,0.005608363,0.027320176
1786181348.169688702,-0.00930058,0.011860829,0.99632597,0.008293143,0.005608363,0.026254911
1786181348.175685644,-0.011741986,0.017720204,0.999743938,-0.001294237,0.005608363,0.024124384
1786181348.180185795,-0.014183393,0.015767079,1.002429485,-0.000228972,0.002412571,0.025189646
1786181348.185684204,-0.019066205,0.017964344,1.009997845,-0.002359501,-0.000783224,0.028385442
1786181348.189884663,-0.027366986,0.019917469,1.000720501,-0.005555294,-0.000783224,0.028385442
1786181348.195791483,-0.015404096,0.005024892,0.983874798,-0.008751089,0.003477834,0.037972823
1786181348.199846029,0.004371294,0.014302235,0.991687298,-0.011946881,0.005608363,0.036907557
1786181348.205675602,0.017554889,-0.005473155,0.988269329,-0.01407741,0.005608363,0.026254911
1786181348.210038424,0.012672076,-0.015971202,0.986804485,-0.016207939,0.002412571,0.019863326
1786181348.215685844,-0.013939252,-0.006205577,1.001941204,-0.008751089,-0.001848487,0.023059119
1786181348.219892502,-0.035179488,-0.020121593,0.996081829,-0.00449003,0.000282042,0.021993853
1786181348.225697994,-0.050072066,-0.017191906,1.007800579,0.007227879,0.001347305,0.020928588
1786181348.229824066,-0.032493941,-0.001811046,0.987292767,0.006162615,0.003477834,0.020928588
1786181348.235687733,-0.017357221,-0.014018077,0.995593548,0.01681526,0.002412571,0.015602268
1786181348.239799261,0.013160357,-0.009379406,1.009997845,0.010423672,0.002412571,0.010275945
1786181348.245694876,0.024879107,-0.009867687,0.982654095,0.009358408,-0.000783224,0.006014887
1786181348.250160217,0.005836138,-0.017191906,0.994861126,-0.00662056,-0.001848487,0.008145414
1786181348.255823374,-0.006126753,-0.027934093,0.987536907,-0.013012147,-0.001848487,0.002819091
1786181348.259782791,-0.016136518,-0.015971202,0.990710735,-0.022599528,0.000282042,0.012406472
1786181348.265697956,-0.006859174,-0.024760265,0.986316204,-0.01407741,0.000282042,0.017732795
1786181348.269968510,0.006812701,-0.024760265,1.00413847,-0.017273204,0.0045431,0.019863326
1786181348.275482416,0.011207232,-0.024760265,1.00023222,-0.003424766,0.001347305,0.018798061
1786181348.279872656,0.001685747,-0.025248546,0.983874798,0.008293143,-0.000783224,0.020928588
1786181348.285701275,-0.018577924,-0.021830577,1.006335735,0.007227879,0.001347305,0.024124384
1786181348.290253878,-0.025413861,-0.025248546,0.991199017,0.01681526,0.002412571,0.0326465
1786181348.295540094,-0.019554486,-0.007914562,0.999988079,0.015749995,0.0045431,0.035842292
1786181348.299841404,-0.010521283,-0.004984874,1.000964642,0.015749995,0.001347305,0.033711765
1786181348.305679083,-0.006126753,0.013081532,0.989245892,0.002966821,0.002412571,0.033711765
1786181348.310065985,-0.018577924,0.017231923,0.98875761,-0.002359501,0.000282042,0.030515969
1786181348.315527201,-0.035423629,0.013081532,0.977283001,-0.005555294,-0.000783224,0.035842292
1786181348.319928408,-0.04763066,0.013081532,0.972156048,-0.008751089,-0.000783224,0.039038084
1786181348.325689077,-0.043968551,0.01625536,0.99241972,-0.011946881,-0.000783224,0.045429673
1786181348.329882622,-0.033226363,-0.006449718,1.006091595,-0.015142675,0.002412571,0.037972823
1786181348.335712671,-0.019066205,-0.002055186,1.041491985,-0.016207939,0.001347305,0.031581234
1786181348.339832544,-0.00905644,0.136616692,1.189197063,0.043446869,0.029044183,0.01666753
1786181348.345687866,0.045386918,0.19057177,1.010241985,0.034924753,0.030109448,-0.016355671
1786181348.349698782,0.059547074,0.235737786,0.977283001,0.073274277,0.02371786,-0.030204102
1786181348.355484724,0.077857621,0.308491677,0.94578886,0.136124879,0.021587333,-0.047248341
1786181348.359910011,0.09714473,0.473042458,0.864490032,0.115884855,0.010934686,-0.062162034
1786181348.365680218,0.058570512,0.280415505,0.828845501,0.130798563,0.003477834,-0.06109678
1786181348.370011568,0.007789263,0.377095193,1.108386517,0.103101678,0.000282042,-0.063227303
1786181348.375849485,-0.028343549,0.335591286,0.982654095,0.033859491,-0.00717481,-0.066423096
1786181348.379692316,0.012916217,0.34462449,1.019519329,-0.011946881,0.0045431,-0.064292572
1786181348.385554075,0.039039262,0.269673318,1.003894329,-0.072666958,0.005608363,-0.063227303
1786181348.389933109,0.035377152,0.28603074,0.916247845,-0.108885951,-0.005044281,-0.05790098
1786181348.395702362,0.03830684,0.205220208,0.859363079,-0.126995444,0.000282042,-0.047248341
1786181348.399900675,-0.012230268,0.203022942,0.990954876,-0.116342798,-0.001848487,-0.032334633
1786181348.405691385,-0.139427528,0.075337395,1.080066204,-0.126995444,-0.00717481,-0.009964079
1786181348.410120487,-0.2378162,-0.019145031,1.104236126,-0.128060713,-0.012501133,-0.018486194
1786181348.415575981,-0.206077918,-0.145609871,1.059314251,-0.114212275,-0.008240074,-0.024877787
1786181348.419796228,-0.167259559,-0.148051277,0.986316204,-0.101429097,0.000282042,-0.030204102
1786181348.425686598,-0.160423622,-0.224711433,0.920886517,-0.059883788,0.0045431,-0.022747256
1786181348.430048227,-0.126732215,-0.266215354,1.013904095,-0.015142675,0.002412571,-0.023812518
1786181348.435484409,-0.04763066,-0.220316902,0.956531048,-0.001294237,-0.002913753,-0.013159871
1786181348.439883471,0.026588092,-0.230082527,0.942370892,0.01468473,-0.009305339,0.004949622
1786181348.445679426,0.080299027,-0.214701667,1.058581829,0.028533168,-0.00717481,0.023059119
1786181348.450278759,0.137672082,-0.164164558,1.044421673,0.013619466,-0.006109545,0.044364408
1786181348.455197096,0.13693966,-0.061625499,0.993152142,0.051968984,0.000282042,0.056082316
1786181348.459950686,0.095679887,-0.038676281,1.092029095,0.048773192,0.0045431,0.069930755
1786181348.465543270,0.129859582,0.016011219,1.07078886,0.04770793,0.0045431,0.066734962
1786181348.469787836,0.155006066,0.04359911,0.936267376,0.055164784,0.017326275,0.07845287
1786181348.475678205,0.10861934,0.04750536,0.972156048,0.04770793,0.024783125,0.081648663
1786181348.479987621,0.032447465,0.068989739,0.900622845,0.043446869,0.024783125,0.07845287
1786181348.485676527,0.032935746,0.094380364,0.94578886,0.051968984,0.022652594,0.062473904
1786181348.489802122,-0.018333783,0.104145989,0.985095501,0.032794226,0.020522067,0.042233877
1786181348.495675325,-0.104759566,0.120991692,1.036120892,0.02427211,0.008804156,0.025189646
1786181348.500183582,-0.11794316,0.123677239,1.015368938,-0.000228972,-0.000783224,0.000688568
1786181348.505716324,-0.103050582,0.106587395,0.944812298,-0.016207939,0.002412571,-0.024877787
1786181348.509919882,-0.091087691,0.071675286,0.969470501,-0.030056378,-0.001848487,-0.037660956
1786181348.515682220,-0.044700973,0.060200673,0.964343548,-0.028991112,-0.009305339,-0.049378864
1786181348.519919395,0.009498248,0.049458485,0.999011517,-0.042839549,-0.009305339,-0.05790098
1786181348.525721550,-0.002952924,-0.01108839,1.01585722,-0.040709026,-0.015696926,-0.055770457
1786181348.529883862,-0.022240033,0.013813954,0.993884563,-0.046035342,-0.014631662,-0.048313603
1786181348.535689592,-0.015404096,-0.03843214,1.007312298,-0.04497008,-0.008240074,-0.037660956
1786181348.540018559,0.002906451,-0.062602058,1.01585722,-0.032186911,-0.001848487,-0.012094609
1786181348.545682907,0.01804317,-0.083354011,1.005603313,-0.024730055,0.000282042,0.002819091
1786181348.549786568,0.027076373,-0.090189949,0.992175579,-0.009816352,0.002412571,0.033711765
1786181348.555735350,0.027076373,-0.117045417,1.018054485,0.00509735,0.0045431,0.042233877
1786181348.559894800,0.005347857,-0.114604011,0.987781048,0.00509735,0.009869421,0.0475602
1786181348.565693140,-0.038597457,-0.111674324,1.01976347,0.012554201,0.010934686,0.051821262
1786181348.569949627,-0.066185348,-0.075297371,0.991687298,0.020011052,0.011999952,0.055017054
1786181348.575684547,-0.069603316,-0.054301281,0.998523235,0.038120549,0.013065217,0.053951789
1786181348.579926014,-0.057640426,-0.021586437,0.989978313,0.031728961,0.014130479,0.0475602
1786181348.585682154,-0.027855268,0.013569813,0.983142376,0.050903723,0.007738894,0.045429673
1786181348.589841127,0.000220904,0.037983876,0.999988079,0.035990022,0.005608363,0.034777027
1786181348.595716953,0.017554889,0.073140129,0.975329876,0.038120549,0.003477834,0.028385442
1786181348.599766254,-0.003197065,0.144429192,0.971423626,0.041316345,0.002412571,0.023059119
1786181348.605676651,0.033424027,0.185688958,1.000964642,0.01681526,-0.001848487,0.015602268
1786181348.609978914,0.046851762,0.118306145,0.908435345,0.045577399,-0.00717481,0.014537003
1786181348.615679026,0.02194942,0.214741692,1.059802532,0.017880524,-0.00717481,0.014537003
1786181348.620082378,0.032935746,0.115132317,0.876452923,-0.002359501,-0.00717481,0.012406472
1786181348.625461578,0.023658404,0.115864739,1.08226347,-0.003424766,-0.001848487,0.00921068
1786181348.629908323,-0.017357221,0.115620598,0.988269329,-0.057753257,-0.001848487,0.01134121
1786181348.635712385,-0.04738652,0.066304192,1.010241985,-0.052426934,-0.008240074,0.021993853
1786181348.639970779,-0.050316207,-0.044779796,1.001697063,-0.074797489,-0.00717481,0.015602268
1786181348.645690680,-0.054222457,0.026509266,0.981433392,-0.052426934,-0.00717481,0.018798061
1786181348.649791479,-0.087425582,-0.121439949,0.969958782,-0.047100611,-0.00717481,0.017732795
1786181348.655687809,-0.06301152,-0.060160656,1.048816204,-0.021534262,-0.00717481,0.01134121
1786181348.660073757,-0.032249801,-0.134867683,1.045642376,-0.011946881,-0.003979016,0.021993853
1786181348.665774107,-0.032249801,-0.048441906,0.965564251,0.001901557,-0.001848487,0.017732795
1786181348.669813633,-0.013939252,-0.136576667,1.001208782,0.012554201,-0.005044281,0.029450703
1786181348.675687790,0.035865434,-0.052348156,1.00047636,0.017880524,-0.003979016,0.04010335
1786181348.680078030,0.029517779,-0.07895948,0.941394329,0.027467905,-0.001848487,0.048625465
1786181348.685693026,0.03855098,-0.065775886,1.02366972,0.023206845,0.000282042,0.055017054
1786181348.690106630,0.047584184,-0.037455577,1.016345501,0.013619466,0.003477834,0.062473904
1786181348.695713282,0.046851762,-0.035746593,0.977771282,0.009358408,0.002412571,0.072061285
1786181348.699807644,0.033424027,-0.037943859,0.991687298,0.008293143,0.003477834,0.065669701
1786181348.705690145,0.005103716,-0.040385265,0.990710735,-0.015142675,0.003477834,0.065669701
1786181348.710228205,-0.019310346,-0.050883312,0.970935345,-0.003424766,0.002412571,0.053951789
1786181348.715467215,-0.036644332,-0.043559093,1.010486126,-0.023664789,0.007738894,0.044364408
1786181348.719965935,-0.052025191,-0.049906749,1.016345501,-0.005555294,0.002412571,0.036907557
1786181348.725739956,-0.03981816,-0.016215343,0.993640423,-0.001294237,0.0045431,0.027320176
1786181348.729824305,-0.037376754,-0.020609874,0.994128704,0.010423672,0.002412571,0.017732795
1786181348.735704422,-0.010033002,-0.013285656,0.979480267,0.012554201,0.0045431,0.001753829
1786181348.740004539,0.01804317,0.006978017,0.974353313,0.027467905,0.001347305,-0.001441963
1786181348.745688200,0.019019732,0.037251454,0.999988079,0.029598434,-0.001848487,-0.005703025
1786181348.750212908,0.014869342,0.033345204,1.009997845,0.02427211,-0.000783224,-0.002507232
1786181348.755687237,0.006080279,0.046040516,1.01610136,0.01468473,0.003477834,-0.001441963
1786181348.760029316,0.007789263,0.053853016,0.986072063,0.002966821,0.0045431,0.01134121
1786181348.765699863,0.012183795,0.041157704,0.98875761,-0.011946881,0.008804156,0.010275945
1786181348.769902229,0.008033404,0.044819813,0.992175579,-0.008751089,0.007738894,0.01134121
1786181348.775688410,-0.01686894,0.026265126,0.975085735,-0.019403733,0.005608363,0.012406472
1786181348.780061483,-0.055931441,0.012593251,1.002673626,-0.01407741,0.000282042,0.01134121
1786181348.785537004,-0.084740035,0.001606923,1.00804472,-0.020468997,0.0045431,0.008145414
1786181348.789783478,-0.096458785,-0.002787608,0.985339642,-0.01407741,0.003477834,0.01134121
1786181348.795683146,-0.073265426,-0.019145031,0.99657011,-0.01407741,0.003477834,0.015602268
1786181348.800109148,-0.037376754,-0.026957531,0.999743938,-0.005555294,0.003477834,0.007080153
1786181348.805698156,-0.008079877,-0.023051281,0.975329876,-0.003424766,-0.000783224,0.007080153
1786181348.809936047,0.007545122,-0.039896984,0.982409954,0.000836292,-0.003979016,0.000688568
1786181348.815704346,0.002418169,-0.034770031,1.002917767,0.002966821,-0.003979016,0.00388436
1786181348.819937468,0.007545122,-0.022074718,0.997058392,-0.000228972,0.000282042,0.002819091
